,title,direction,leverage,open_date,entry_price,pnl,closed,closed_date,fill_price,pnl_percent
71,PEPEUSDT Perpetual,Isolated,Short 4.00x,"01/22/2024, 06:15:15",0.000001084 USDT,+966.05 USDT,922 Contracts,"01/23/2024, 08:10:41",0.000000979 USDT,+38.66%
72,ARBUSDT Perpetual,Isolated,Short 4.00x,"01/22/2024, 06:14:46",1.7219 USDT,+991.72 USDT,586 Contracts,"01/23/2024, 08:08:25",1.5509 USDT,+39.31%
73,CRVUSDT Perpetual,Isolated,Short 4.00x,"01/19/2024, 06:52:22",0.5148 USDT,"+1,141.52 USDT","22,432 Contracts","01/23/2024, 08:04:26",0.4633 USDT,+39.54%
74,MATICUSDT Perpetual,Isolated,Short 4.00x,"01/19/2024, 06:52:56",0.7916 USDT,"+1,170.15 USDT","1,488 Contracts","01/23/2024, 03:28:16",0.7128 USDT,+39.73%
75,GALAUSDT Perpetual,Isolated,Short 4.00x,"01/19/2024, 06:53:33",0.02366 USDT,"+1,173.88 USDT","49,913 Contracts","01/23/2024, 03:25:41",0.02131 USDT,+39.76%
76,MOVRUSDT Perpetual,Isolated,Short 4.00x,"01/22/2024, 06:14:15",22.769 USDT,+988.54 USDT,"4,452 Contracts","01/23/2024, 02:49:07",20.538 USDT,+39.00%
77,DOTUSDT Perpetual,Isolated,Short 4.00x,"01/19/2024, 06:51:42",6.901 USDT,"+1,125.68 USDT","1,667 Contracts","01/23/2024, 02:17:11",6.218 USDT,+39.14%
78,SOLUSDT Perpetual,Isolated,Short 4.00x,"01/20/2024, 09:15:21",90.82 USDT,"+1,216.39 USDT",134 Contracts,"01/23/2024, 02:14:49",81.74 USDT,+39.98%
79,SATSUSDT Perpetual,Isolated,Short 4.00x,"01/19/2024, 12:58:12",0.00000052631 USDT,"+1,179.28 USDT","2,228 Contracts","01/23/2024, 01:41:43",0.00000047324 USDT,+40.22%
80,BIGTIMEUSDT Perpetual,Isolated,Short 4.00x,"01/18/2024, 21:00:15",0.3801 USDT,"+1,197.93 USDT","3,213 Contracts","01/22/2024, 08:49:22",0.3425 USDT,+39.23%
81,PYTHUSDT Perpetual,Isolated,Short 4.00x,"01/19/2024, 13:15:15",0.3280 USDT,"-2,451.14 USDT","3,650 Contracts","01/20/2024, 07:04:42",0.3948 USDT,-81.90%
82,SATSUSDT Perpetual,Isolated,Short 4.00x,"01/18/2024, 21:03:37",0.00000055485 USDT,+803.08 USDT,"1,496 Contracts","01/19/2024, 10:40:25",0.00000050084 USDT,+38.70%
83,SATSUSDT Perpetual,Isolated,Short 4.00x,"01/18/2024, 20:24:31",0.00000056256 USDT,+319.87 USDT,520 Contracts,"01/19/2024, 10:40:25",0.00000050071 USDT,+43.73%
84,UMAUSDT Perpetual,Isolated,Long 1.00x,"01/19/2024, 06:40:05",3.57,+500.67 USDT,"13,913 Contracts","01/19/2024, 09:53:31",3.93,+10.07%
85,BIGTIMEUSDT Perpetual,Isolated,Short 4.00x,"01/18/2024, 20:57:16",0.3808 USDT,+5.88 USDT,867 Contracts,"01/18/2024, 20:59:20",0.3797 USDT,+0.71%
86,BIGTIMEUSDT Perpetual,Isolated,Short 4.00x,"01/18/2024, 20:23:40",0.3905 USDT,+78.89 USDT,751 Contracts,"01/18/2024, 20:59:20",0.3796 USDT,+10.76%
87,AGLDUSDT Perpetual,Isolated,Long 1.00x,"01/01/2024, 14:36:40",1.486 USDT,-301.09 USDT,"1,014 Contracts","01/18/2024, 20:52:02",1.196 USDT,-19.99%
88,BLURUSDT Perpetual,Isolated,Long 1.00x,"01/16/2024, 14:18:16",0.7224 USDT,-810.43 USDT,777 Contracts,"01/18/2024, 20:51:51",0.6194 USDT,-14.44%
89,SUIUSDT Perpetual,Isolated,Long 1.00x,"01/13/2024, 02:50:21",1.3118 USDT,-667.02 USDT,"4,713 Contracts","01/18/2024, 13:12:42",1.1721 USDT,-10.79%
90,YFIIUSDT Perpetual,Isolated,Long 1.00x,"01/17/2024, 09:51:52","1,983.65",+550.81 USDT,"2,782 Contracts","01/18/2024, 08:32:31","2,188.22",+9.98%
91,SSVUSDT Perpetual,Isolated,Long 1.00x,"01/10/2024, 18:40:48",36.30 USDT,-285.62 USDT,732 Contracts,"01/18/2024, 06:47:46",32.52 USDT,-10.75%
92,AUCTIONUSDT Perpetual,Isolated,Long 1.00x,"01/16/2024, 10:01:29",30.75,"-1,172.55 USDT","1,802 Contracts","01/17/2024, 21:58:17",24.29,-21.17%
93,MAGICUSDT Perpetual,Isolated,Long 1.00x,"01/16/2024, 22:09:04",1.2746 USDT,-469.46 USDT,"3,966 Contracts","01/17/2024, 21:56:43",1.1577 USDT,-9.29%
94,CHZUSDT Perpetual,Isolated,Long 1.00x,"01/16/2024, 14:45:20",0.10669 USDT,-277.27 USDT,"5,261 Contracts","01/17/2024, 21:56:40",0.10161 USDT,-4.94%
95,YFIIUSDT Perpetual,Isolated,Long 1.00x,"01/14/2024, 06:14:32","1,800.01",+698.81 USDT,"3,122 Contracts","01/17/2024, 09:45:27","2,036.67",+12.43%
96,ORDIUSDT Perpetual,Isolated,Long 1.00x,"01/13/2024, 16:00:55",77.228 USDT,-413.09 USDT,780 Contracts,"01/14/2024, 16:43:13",72.036 USDT,-6.86%
97,TIAUSDT Perpetual,Isolated,Long 1.00x,"01/09/2024, 06:04:11",16.210 USDT,+478.44 USDT,290 Contracts,"01/13/2024, 10:01:00",17.843 USDT,+10.17%
98,LDOUSDT Perpetual,Isolated,Long 1.00x,"01/09/2024, 18:50:50",3.733 USDT,-475.14 USDT,"1,375 Contracts","01/12/2024, 16:30:07",3.393 USDT,-9.26%
99,BTCUSDT Perpetual,Isolated,Short 3.00x,"01/12/2024, 08:27:19","45,708.9 USDT","+3,269.06 USDT",223 Contracts,"01/12/2024, 10:18:36","44,198.0 USDT",+9.62%
100,BTCUSDT Perpetual,Isolated,Long 3.00x,"01/11/2024, 09:28:33","47,698.1 USDT","-4,528.39 USDT",221 Contracts,"01/12/2024, 08:26:56","45,703.8 USDT",-12.89%
