file_symbol,Start,End,Period,Start Value,Min Value,Max Value,End Value,Total Return [%],Benchmark Return [%],Total Time Exposure [%],Max Gross Exposure [%],Max Drawdown [%],Max Drawdown Duration,Total Orders,Total Fees Paid,Total Trades,Win Rate [%],Best Trade [%],Worst Trade [%],Avg Winning Trade [%],Avg Losing Trade [%],Avg Winning Trade Duration,Avg Losing Trade Duration,Profit Factor,Expectancy,Sharpe Ratio,Calmar Ratio,Omega Ratio,Sortino Ratio,symbol
origAverage-Moon-Cypress-orders_BTCUSDT,2023-11-21 00:00:00+00:00,2024-02-20 23:45:00+00:00,94 days 19:15:00,71394.89199999999,70268.91199999998,123726.09199999995,97990.55200000035,37.251488523857354,39.45785801129382,38.325458740797714,912.6730569817928,25.63346137207662,21 days 13:15:00,270,0.0,135,50.37037037037037,5.262030771301679,-3.325739384046991,1.320048330469863,-0.9605141919928445,0 days 21:31:59.117647058,0 days 22:36:02.686567164,1.42121754931148,197.00488888889117,1.897564319298449,9.800621442427575,1.0514352124726847,2.8016787039003628,BTCUSDT
origAverage-Moon-Cypress-orders_ETHUSDT,2023-11-21 00:00:00+00:00,2024-02-20 23:45:00+00:00,94 days 23:30:00,45195.67300000002,40713.37300000002,125479.94299999968,124154.94299999971,174.7053750034869,48.92804568402629,35.87409519631498,744.6640095269579,24.173243005162913,20 days 21:30:00,286,0.0,143,59.44055944055944,7.691067819933956,-4.862260060807115,1.461974129038252,-1.221424143760564,0 days 19:04:14.117647058,1 days 03:30:15.517241379,2.5964610082642743,552.1627272727256,4.826623970612907,223.8043918854977,1.1577890802788195,7.329479282122144,ETHUSDT
Champion-orders_BTCUSDT,2023-12-02 00:00:00+00:00,2024-02-21 14:46:30+00:00,82 days 04:30:00,3053.0226999999986,2197.185699999991,3502.6146999999874,3340.7307,9.42370982043473,35.230974337103916,10.304182509505704,981.9245802656644,28.595041424375324,75 days 03:30:00,114,0.0,57,82.45614035087719,1.8304548369537759,-2.7665833939562434,0.47612083732762195,-2.490927910826667,0 days 08:26:48.510638297,1 days 10:07:30,1.4338263566686325,5.047508771929795,0.9296105077418585,1.7340794937563082,1.0527542026436945,1.4315819837546622,BTCUSDT
Champion-orders_ETHUSDT,2024-01-10 00:00:00+00:00,2024-02-21 14:37:31.001000+00:00,42 days 15:00:00,7242.17,5631.059999999998,8637.690000000002,8155.530000000004,12.611689590274796,27.25764649270104,6.549364613880742,1330.837355666607,29.087976063196784,18 days 13:00:00,60,0.0,30,93.33333333333333,1.2987551589829605,-1.6568706874563883,0.4208784851888774,-1.2443029335435662,0 days 11:56:47.142857142,0 days 07:15:00,3.46969009599059,30.44533333333294,1.4780097369828529,6.069344387723294,1.1117440541441077,2.211022275547081,ETHUSDT
Puzzled-PoT-Muffler-orders_BTCUSDT,2023-10-27 00:00:00+00:00,2024-02-14 00:00:00+00:00,110 days 20:15:00,10596.3063,5996.096204390909,15758.568649612887,14179.25466891854,33.813182324849734,45.355740900894695,52.71121135231651,1124.280923176581,43.68092343252361,92 days 04:45:00,80,0.0,45,59.09090909090909,12.331309316446635,-4.551029647303111,1.6887998779275812,-1.8593217174357006,3 days 03:15:00,2 days 19:55:50,1.6555329113414459,85.13350859139499,1.491929409836655,3.728152990185234,1.0396427530529004,2.1043487240392196,BTCUSDT
Puzzled-PoT-Muffler-orders_ETHUSDT,2023-10-28 00:00:00+00:00,2024-02-08 00:00:00+00:00,103 days 18:15:00,8708.6844,2438.343980961188,9327.639689507552,8123.012124145708,-6.725152146451557,36.18215214546234,43.23863065957233,1690.0142248406723,73.85893900142793,67 days 17:45:00,71,0.0,40,48.717948717948715,9.589843075878939,-4.580251497505518,1.877884044948645,-1.7492372828902862,2 days 05:33:09.473684210,1 days 19:53:15,0.8971569005754801,-16.78826968322298,0.6594206322994378,-0.29598814380949456,1.0176205932629128,0.950759237488819,ETHUSDT
The-wealth-of-god-orders_BTCUSDT,2023-12-08 00:00:00+00:00,2024-02-20 23:45:00+00:00,79 days 03:00:00,5250.579800000001,4732.782400000011,8928.617800000002,8928.617799999989,70.05013046368683,20.53903802324344,28.10689836756187,1066.4278078789318,22.339636117966258,30 days 18:45:00,396,0.0,198,94.44444444444444,3.2111801242236004,-4.224925396933863,0.8844250448517301,-1.085500328986465,1 days 00:52:56.470588235,0 days 10:28:38.181818181,15.174376168179277,18.57594949494945,3.91047267496403,54.825080052231485,1.231709537679188,6.309631402894521,BTCUSDT
The-wealth-of-god-orders_ETHUSDT,2023-10-25 00:00:00+00:00,2024-02-20 23:45:00+00:00,120 days 04:00:00,2163.2586,2094.6355999999996,3377.671600000007,2443.1555999999973,12.938675015552795,69.24964070780348,13.626907073509015,986.3547191210096,36.32318784336516,74 days 06:45:00,112,0.0,56,69.64285714285714,2.417966455924786,-5.606805389728631,1.0859987643654585,-2.6343547451156497,0 days 16:49:59.999999999,1 days 17:05:17.647058823,1.2459563900645738,4.998160714285593,0.887896392769747,1.2454326808878617,1.0601877296481377,1.1514418703102194,ETHUSDT
Creative-Bounty-Crow-orders_BTCUSDT,2024-01-22 00:00:00+00:00,2024-02-21 17:39:40.005000+00:00,32 days 02:30:00,34727.30010000001,33447.26170000006,48040.157100000186,40209.36010000025,15.786024206357013,25.52189681175292,12.005191434133678,750.592587050467,17.594523445020787,22 days 17:15:00,202,0.0,96,54.166666666666664,2.304662917783684,-1.9788807864245563,1.1307102685950299,-0.35603395486018014,0 days 07:04:02.307692307,0 days 01:55:54.545454545,2.0950131269767573,57.104791666668646,1.9386653494241646,26.698641923432778,1.1705610003726112,2.9354859721831796,BTCUSDT
Creative-Bounty-Crow-orders_ETHUSDT,2023-12-10 00:00:00+00:00,2024-02-20 23:45:00+00:00,75 days 11:15:00,84458.24299999999,83997.24300000007,173217.81300000008,151674.27700000047,79.5849305082045,28.69888539314369,26.763285024154587,606.834507813147,22.64028122788964,61 days 04:45:00,238,0.0,116,65.51724137931035,4.518367720589181,-4.1416980554949605,1.4219682395820639,-1.3585868379044441,0 days 09:25:51.315789473,0 days 13:36:22.500000,1.6403512949638246,579.4485689655193,3.693450819362315,78.08569419069389,1.1410455389899585,5.42535629244246,ETHUSDT
